author;n;primary_subject
Ken S. Thomas;1;Computational Physics
P. Espinoza;1;Classical Physics
C. Grupen;1;Instrumentation and Detectors
Anthony Hams;1;Computational Physics
Hans De Raedt;1;Computational Physics
A. M. Burkhanov;2;Classical Physics
K. B. Vlasov;2;Classical Physics
V. V. Gudkov;2;Classical Physics
B. V. Tarasov;2;Classical Physics
A.A. Fedyanin;2;Optics
T.V. Dolgova;1;Optics
O.A. Aktsipetrov;3;Optics
D. Schuhmacher;1;Optics
G. Marowsky;1;Optics
Hans E. Plesser;2;Biological Physics
Theo Geisel;3;Biological Physics
J.Lu;1;Atomic and Molecular Clusters
Z.Roller-Lutz;1;Atomic and Molecular Clusters
H.O.Lutz;1;Atomic and Molecular Clusters
N. A. Zabotin;1;Plasma Physics
Yu. V. Chugunov;1;Plasma Physics
E. A. Mareev;1;Plasma Physics
A. G. Bronin;1;Plasma Physics
Hrachya B. Nersisyan;3;Plasma Physics
Amal K. Das;2;Plasma Physics
Mei Xiaochun;19;General Physics
H. Nikolic;5;Quantum Physics
Hiroki Sayama;1;Biological Physics
Les Kaufman;1;Biological Physics
Yaneer Bar-Yam;2;No primary subject
Alexander A.Vlasov;6;Classical Physics
Tom Ostoma;1;General Physics
Mike Trushyk;1;General Physics
John W. Norbury;7;No primary subject
G. Sudhakaran;1;Physics Education
Ph. Bernard;2;No primary subject
E. Picasso;2;No primary subject
Mala Das;6;Instrumentation and Detectors
B.K.Chatterjee;4;Instrumentation and Detectors
B.Roy;3;Instrumentation and Detectors
S.C.Roy;5;Instrumentation and Detectors
B. Roy;3;Instrumentation and Detectors
B. K. Chatterjee;2;No primary subject
Ernst Karl Kunst;5;General Physics
B. Zilbergleyt;16;Chemical Physics
Massimo Casu;1;Atomic Physics
Christoph Keitel;1;Atomic Physics
Martin Nilsson;3;Biological Physics
Nigel Snoad;2;Biological Physics
Andres Aguado;3;Atomic and Molecular Clusters
Jose M. Lopez;1;Atomic and Molecular Clusters
D. Voigt;5;Atomic Physics
E.C. Schilder;1;Atomic Physics
R.J.C. Spreeuw;7;Atomic Physics
H.B. van Linden van den Heuvell;6;Atomic Physics
Ken Sekimoto;5;Biological Physics
Hatsumi Nakazawa;1;Biological Physics
Carla Figueira de Morisson Faria;1;Atomic Physics
Jan-Michael Rost;6;Atomic Physics
P. R. Berman;8;Atomic Physics
B. Dubetsky;8;Atomic Physics
Raoul Nakhmanson;8;General Physics
A. G. Khachatryan;4;Plasma Physics
Mark Mandelkern;1;Data Analysis, Statistics and Probability
Jonas Schultz;1;Data Analysis, Statistics and Probability
Roger Ellman;6;General Physics
Clinton D. Stoner;1;Physics Education
P.H. Chavanis;8;Fluid Dynamics
Naftali Tishby;5;Data Analysis, Statistics and Probability
Fernando C. Pereira;1;Data Analysis, Statistics and Probability
William Bialek;22;No primary subject
M.Shurgalin;1;Atomic Physics
W.H.Parkinson;1;Atomic Physics
K.Yoshino;1;Atomic Physics
C.Schoene;1;Atomic Physics
W.P.Lapatovich;1;Atomic Physics
Michael Byrne;2;General Physics
Rob de Ruyter van Steveninck;3;Biological Physics
Alexander Borst;1;Biological Physics
D. A. Varshalovich;2;Atomic Physics
A. Y. Potekhin;13;No primary subject
A. V. Ivanchik;2;Atomic Physics
S. Hillert;3;Instrumentation and Detectors
R. Ischebeck;1;Accelerator Physics
U. C. Müller;1;Accelerator Physics
S. Roth;3;No primary subject
K. Hansen;1;Accelerator Physics
P. Holl;1;Accelerator Physics
S. Karstensen;2;No primary subject
J. Kemmer;1;Accelerator Physics
R. Klanner;3;No primary subject
P. Lechner;2;No primary subject
M. Leenen;2;No primary subject
J. S. T. Ng;1;Accelerator Physics
P. Schmüser;1;Accelerator Physics
L. Strüder;4;Instrumentation and Detectors
Arezky H. Rodriguez;2;No primary subject
J. Marin-Antuna;2;No primary subject
H. Rodriguez-Coppola;2;No primary subject
C. Dopazo;1;Fluid Dynamics
Jijun Zhao;5;Atomic and Molecular Clusters
Jinlan Wang;4;Atomic and Molecular Clusters
Guanghou Wang;4;Atomic and Molecular Clusters
S. Banerjee;2;No primary subject
D. Mathur;14;No primary subject
G. Ravindra Kumar;11;Plasma Physics
Richard Lieu;2;General Physics
Antonio C. Cancio;1;Atomic Physics
C. Y. Fong;1;Atomic Physics
J. S. Nelson;1;Atomic Physics
G.W. Wei;1;Computational Physics
M. G. Kozlov;26;Atomic Physics
S. G. Porsev;8;Atomic Physics
I. I. Tupitsyn;15;Atomic Physics
Wei Gai;3;Accelerator Physics
Paul Schoessow;5;No primary subject
Shanil N. Virani;1;Astrophysics
Reinhold Mueller-Mellin;1;Astrophysics
Paul P. Plucinsky;1;Astrophysics
Yousaf M. Butt;1;Astrophysics
Martin Lopez-Corredoira;5;Astrophysics
G. Brodin;24;Plasma Physics
M. Marklund;38;Plasma Physics
M. Servin;1;Astrophysics
S. Zapata;1;Soft Condensed Matter
A. Cruz;3;Disordered Systems and Neural Networks
J. Pech;1;Disordered Systems and Neural Networks
A. Tarancon;3;Disordered Systems and Neural Networks
P. Tellez;2;Disordered Systems and Neural Networks
C. L. Ullod;1;Disordered Systems and Neural Networks
C. Ungil;1;Disordered Systems and Neural Networks
F.Kh. Abdullaev;1;Soft Condensed Matter
R.A. Kraenkel;1;Soft Condensed Matter
Enrique Canessa;1;Condensed Matter
G. Labeyrie;6;Atomic Physics
C. A. Müller;1;Disordered Systems and Neural Networks
D. S. Wiersma;1;Disordered Systems and Neural Networks
Ch. Miniatura;1;Disordered Systems and Neural Networks
R.Kaiser;2;No primary subject
S. N. Coppersmith;2;Disordered Systems and Neural Networks
Leo P. Kadanoff;4;Disordered Systems and Neural Networks
Zhitong Zhang;2;Disordered Systems and Neural Networks
David K. Lubensky;2;Soft Condensed Matter
David R. Nelson;2;Soft Condensed Matter
S.E. Skipetrov;13;Disordered Systems and Neural Networks
R. Maynard;3;Disordered Systems and Neural Networks
Nikos Theodorakopoulos;4;Statistical Mechanics
Thierry Dauxois;9;Fluid Dynamics
Michel Peyrard;11;Statistical Mechanics
Christian Bauer;1;Symbolic Computation
Alexander Frink;1;Symbolic Computation
Richard Kreckel;1;Symbolic Computation
Peter Gorham;3;High Energy Physics - Experiment
David Saltzberg;2;High Energy Physics - Experiment
John G. Power;1;High Energy Physics - Experiment
Richard Konecny;1;High Energy Physics - Experiment
M. E. Conde;2;No primary subject
O. Yavas;16;No primary subject
A.K. Ciftci;11;High Energy Physics - Experiment
S. Sultansoy;22;No primary subject
Massimo Di Pierro;5;High Energy Physics - Lattice
Aneesh V. Manohar;3;High Energy Physics - Phenomenology
Iain W. Stewart;2;High Energy Physics - Phenomenology
P. Draggiotis;1;High Energy Physics - Phenomenology
R. Jackiw;22;High Energy Physics - Theory
A.P. Polychronakos;4;High Energy Physics - Theory
V.P. Nair;3;High Energy Physics - Theory
So-Young Pi;2;High Energy Physics - Theory
Marco Frasca;11;Quantum Physics
S. Antoci;3;No primary subject
L. Mihich;1;Quantum Physics
M. G. Moore;4;Quantum Physics
P. Meystre;5;No primary subject
R P Martínez-y-Romero;2;No primary subject
H N Núñez-Yépez;2;No primary subject
A L Salas-Brito;3;No primary subject
Y. Ben-Ezra;1;Plasma Physics
Yurij V. Pershin;1;Plasma Physics
I.D.Vagner;1;Plasma Physics
P.Wyder;1;Plasma Physics
J.P.V.Carneiro;1;Fluid Dynamics
Maurice Meneguzzi;1;Fluid Dynamics
Toshiyuki Gotoh;1;Fluid Dynamics
B.J. King;5;Accelerator Physics
S.S. Moser;1;Accelerator Physics
R.J. Weggel;2;Accelerator Physics
N.V. Mokhov;5;Accelerator Physics
Boris Rybak;1;General Physics
Zahid Zakir;5;General Physics
L.Ya. Kobelev;2;General Physics
O.L. Kobeleva;2;General Physics
Ya.L. Kobelev;2;General Physics
Genrikh Bayatian;1;General Physics
S. Murdoch;1;Atomic Physics
B.Willke;1;Optics
V.Quetschke;1;Optics
S.Gossler;1;Optics
O.S.Brozek;1;Optics
K.Danzmann;1;Optics
Z.Zakir;1;General Physics
Y.G. Yi;1;General Physics
M. Nilsson;2;No primary subject
O. Morsch;4;Atomic Physics
P. H. Jones;3;Atomic Physics
D. R. Meacher;2;Atomic Physics
John Ellis;1;Physics Education
Jie Gao;9;No primary subject
David J;1;Optics
Strozzi;1;Optics
Oscar Bolina;6;Physics Education
Arvinder S. Sandhu;4;Plasma Physics
Sudeep Banerjee;1;Optics
Debabrata Goswami;4;Optics
F. Aceves de la Cruz;1;General Physics
Francois Vandenbrouck;1;Physics Education
Ludovic Berthier;1;Physics Education
Francois Gheusi;1;Physics Education
Carlos A. Perazzo;1;Biological Physics
Elmer A. Fernandez;1;Biological Physics
Dante R. Chialvo;1;Biological Physics
Peter Willshaw;1;Biological Physics
M.N.Ovchinnikov;1;Fluid Dynamics
Robert A. Herrmann;6;General Physics
Spencer R. Klein;5;Accelerator Physics
W. C. Haxton;4;No primary subject
M. Hammes;4;Atomic Physics
D. Rychtarik;4;Atomic Physics
V. Druzhinina;1;Atomic Physics
U. Moslener;1;Atomic Physics
I. Manek-Hönninger;1;Atomic Physics
Michael W.N. Ibrahim;2;Chemical Physics
Adonai S. Sant'Anna;1;Classical Physics
Clovis A. S. Maia;1;Classical Physics
Elad Schneidman;4;Biological Physics
Naama Brenner;2;No primary subject
Rob R. de Ruyter van Steveninck;1;Biological Physics
Y. G. Yi;6;General Physics
Andrés Aguado;2;Atomic and Molecular Clusters
Erel Levine;1;Computational Physics
Eytan Domany;3;Biological Physics
Peter Sheridan Dodds;5;Geophysics
Daniel H. Rothman;5;Geophysics
Yair Guttmann;1;History and Philosophy of Physics
Holger Lyre;2;No primary subject
Jonny Heiss;1;General Physics
Eyvind Aker;1;Fluid Dynamics
Alex Hansen;4;Physics and Society
Knut Jorgen Maloy;2;No primary subject
V.I.Alexeev;1;Classical Physics
I.V. Bayak;1;General Physics
Krzysztof Dzierzega;1;Atomic Physics
Udo Volz;1;Atomic Physics
Gillian Nave;1;Atomic Physics
Ulf Griesmann;1;Atomic Physics
David H. Wolpert;2;Computational Physics
Po Dong;1;Optics
A.K. Popov;2;Optics
Tang Sing Hai;1;Optics
Jin-Yue Gao;1;Optics
Qiong Gao;1;Data Analysis, Statistics and Probability
Ming Li;4;No primary subject
Paul Vitanyi;10;No primary subject
Balasubramanya T. Nadiga;1;Fluid Dynamics
Victor M. Urbina;2;General Physics
Len M. Pismen;5;Fluid Dynamics
Boris Y. Rubinstein;1;Fluid Dynamics
Yves Pomeau;3;Fluid Dynamics
A.M.Selvam;6;General Physics
Bo Gao;7;Atomic Physics
Nigel D Marsh;1;Atmospheric and Oceanic Physics
Henrik Svensmark;3;Atmospheric and Oceanic Physics
Daniel M. Zuckerman;26;Biological Physics
Thomas B. Woolf;6;No primary subject
K. Arun Kumar;1;Fluid Dynamics
Michael D. Graham;6;Fluid Dynamics
Zhen Ye;10;No primary subject
Krzysztof Sacha;21;No primary subject
M. I. Bazhal;1;Biological Physics
N. I. Lebovka;2;Biological Physics
E. I. Vorobiev;1;Biological Physics
J. H. Müller;1;Atomic Physics
D. Ciampini;3;Atomic Physics
M. Anderlini;3;Atomic Physics
R. Mannella;2;No primary subject
E. Arimondo;6;Atomic Physics
A. Dalgarno;4;Atomic Physics
Detlef Kip;3;Optics
Marin Soljacic;10;Optics
Mordechai Segev;5;Optics
Evgenia Eugenieva;1;Optics
Demetrios N. Christodoulides;4;Optics
Friedrich W. Hehl;25;Classical Physics
Yuri N. Obukhov;18;Classical Physics
Jose A. Pons;1;Astrophysics
Jose Ma. Marti;1;Astrophysics
Ewald Mueller;1;Astrophysics
J.I.Collar;4;No primary subject
J.Puibasset;1;Astrophysics
T.A.Girard;1;Astrophysics
D.Limagne;1;Astrophysics
H.S.Miley;1;Astrophysics
G.Waysand;1;Astrophysics
M. Maris;2;Astrophysics
D. Maino;2;Astrophysics
C. Burigana;2;Astrophysics
F. Pasian;2;Astrophysics
Michael Feuchtinger;1;Astrophysics
J. Robert Buchler;5;Astrophysics
Zoltan Kollath;5;Astrophysics
Klaus Elsaesser;1;Astrophysics
E. Glickman;1;Materials Science
I. Borukhov;4;Soft Condensed Matter
L. Leibler;2;Soft Condensed Matter
Peter Arnold;4;Statistical Mechanics
Boris Tomasik;4;Statistical Mechanics
S.J. Mitchell;5;No primary subject
G. Brown;5;Materials Science
Makoto Tsubota;4;Soft Condensed Matter
Tsunehiko Araki;2;Soft Condensed Matter
Sergey K. Nemirovskii;4;Soft Condensed Matter
Pedro Bernaola-Galvan;2;No primary subject
Plamen Ch. Ivanov;13;No primary subject
Luis A. Nunes Amaral;3;Physics and Society
Ary L. Goldberger;4;Statistical Mechanics
H. Eugene Stanley;36;No primary subject
Václav Špička;2;No primary subject
Pavel Lipavský;6;No primary subject
D. Andelman;4;Soft Condensed Matter
R. Borrega;1;Soft Condensed Matter
M. Cloitre;1;Soft Condensed Matter
H. Orland;4;No primary subject
Andrew Matacz;1;Statistical Mechanics
H. Diamant;8;Soft Condensed Matter
T. A. Witten;3;Soft Condensed Matter
A. Gopal;2;Soft Condensed Matter
K. Y. C. Lee;2;Soft Condensed Matter
Yosef Ashkenazy;4;Statistical Mechanics
Shlomo Havlin;36;No primary subject
Chung-K. Peng;1;Statistical Mechanics
Roderick C. Dewar;1;Statistical Mechanics
F. Kh. Abdullaev;1;Soft Condensed Matter
R. A. Kraenkel;1;Soft Condensed Matter
David R. Wolf;2;No primary subject
J. B. Kogut;1;High Energy Physics - Lattice
D. K. Sinclair;1;High Energy Physics - Lattice
Dolors Eiras;1;High Energy Physics - Phenomenology
Joan Soto;3;High Energy Physics - Phenomenology
V. Hnizdo;10;Classical Physics
Joerg Schumacher;30;No primary subject
Pierre Collet;1;Pattern Formation and Solitons
Jean-Pierre Eckmann;1;Pattern Formation and Solitons
Victor S. L'vov;29;Chaotic Dynamics
Itamar Procaccia;25;Chaotic Dynamics
Galya Blum;1;Chaotic Dynamics
Oded Agam;3;No primary subject
Alexander Groisman;3;Chaotic Dynamics
Victor Steinberg;7;Chaotic Dynamics
M. C. Lai;1;Pattern Formation and Solitons
K. H. Chiam;1;Pattern Formation and Solitons
M. C. Cross;1;Pattern Formation and Solitons
H. S. Greenside;1;Pattern Formation and Solitons
Anna Maria Morgante;2;Pattern Formation and Solitons
Georgios Kopidakis;3;Pattern Formation and Solitons
C.A. Bertulani;7;Nuclear Theory
D.T. de Paula;1;Nuclear Experiment
Theodore E. Liolios;2;Nuclear Theory
H.A. Kastrup;6;Quantum Physics
T. Ya. Popova;4;Quantum Physics
A. K. Popov;17;Quantum Physics
S. G. Rautian;3;Quantum Physics
A. A. Feoktistov;1;Quantum Physics
Alexander K. Popov;6;Optics
Alexander S. Bayev;2;No primary subject
D. L. Haycock;1;Quantum Physics
P. M. Alsing;1;Quantum Physics
I. H. Deutsch;2;Quantum Physics
J. Grondalski;1;Quantum Physics
P. S. Jessen;1;Quantum Physics
R. I. Sokolovskii;1;Quantum Physics
A. Lezama;5;Atomic Physics
G.C. Cardoso;1;Quantum Physics
J.W.R. Tabosa;1;Quantum Physics
J. Uhlig;2;No primary subject
A. Weiguny;2;No primary subject
Herbert H. H. Homeier;2;No primary subject
Stuart Henderson;1;Accelerator Physics
David Cinabro;1;Accelerator Physics
Kurt Busch;3;Optics
Nipun Vats;1;Classical Physics
Sajeev John;1;Classical Physics
Barry C. Sanders;2;No primary subject
Yu.A.Sivov;1;Chemical Physics
Yu.I.Tyurin;1;Chemical Physics
V.D.Choruzhii;1;Chemical Physics
Krishna Bhuvalka;1;Optics
Pankaj Jain;2;No primary subject
Georg H. Hoffstaetter;12;Accelerator Physics
C.Y. Chen;6;No primary subject
J. Andruszkow;1;Accelerator Physics
Sudip Sen Gupta;1;Plasma Physics
Predhiman K. Kaw;1;Plasma Physics
Gaurav Dar;1;Fluid Dynamics
Mahendra K. Verma;9;No primary subject
V. Eswaran;1;Fluid Dynamics
Dariusz Grech;3;No primary subject
Zygmunt Mazur;2;No primary subject
Markus Brede;2;No primary subject
Ulrich Behn;1;Biological Physics
Victor G. Bezchastnov;1;Atomic Physics
Lorenz S. Cederbaum;11;Chemical Physics
Mikhail V. Ivanov;3;Atomic Physics
Thomas Detmer;1;Chemical Physics
Lorenz Cederbaum;1;Chemical Physics
Vladimir Melezhik;1;Atomic Physics
Martin Servin;3;Plasma Physics
Gert Brodin;13;Plasma Physics
Amir H.Abbassi;1;Classical Physics
Amir M.Abbassi;1;Classical Physics
G.M. Tosi-Beleffi;1;Optics
M.Presi;1;Optics
C. Palma;1;Optics
D. Boschi;1;Optics
E. DelRe;2;Optics
A.J. Agranat;1;Optics
Alessandro B. Romeo;3;Astrophysics
H.V. Klapdor-Kleingrothaus;1;Popular Physics
H. Päs;1;Popular Physics
R.J.S. Lee;1;Atomic Physics
J.V. Mullan;1;Atomic Physics
J.F. McCann;1;Atomic Physics
D.S.F. Crothers;1;Atomic Physics
S. Kulin;2;No primary subject
T. C. Killian;12;Atomic Physics
S. D. Bergeson;13;Atomic Physics
S. L. Rolston;10;No primary subject
N.F.Allard;1;Atomic Physics
J.Kielkopf;1;Atomic Physics
I.Drira;1;Atomic Physics
P.Schmelcher;1;Atomic Physics
Valerio Faraoni;1;Physics Education
A.S.R.Murty;1;General Physics
Michael Gedalin;1;Classical Physics
Murray Peshkin;1;Optics
G. Quznetsov;5;General Physics
Takashi Sakai;1;General Physics
Jean-Philippe Uzan;2;No primary subject
Jean-Pierre Luminet;2;No primary subject
Roland Lehoucq;2;No primary subject
Patrick Peter;1;Classical Physics
C. L. Herzenberg;18;General Physics
Frank D. Tony Smith;1;General Physics
Afsar Abbas;19;General Physics
M. Ohlsson;1;Biological Physics
C. Peterson;1;Biological Physics
M. Ringner;1;Biological Physics
R. Blankenbecler;1;Biological Physics
Michael L. Stein;2;No primary subject
Jean M. Quashnock;2;No primary subject
Ji Meng Loh;2;No primary subject
Sven Bilke;1;Biological Physics
A. Mazur;1;General Physics
Mladen Bozin;1;General Physics
I. Lazanu;5;No primary subject
S. Lazanu;5;No primary subject
M. Bruzzi;2;No primary subject
Sujay Chattopadhyay;2;Biological Physics
Satyabrata Sahoo;1;Biological Physics
Jayprokas Chakrabarti;2;Biological Physics
S. Deser;4;General Relativity and Quantum Cosmology
J. R. Mureika;10;Popular Physics
Jean Ringot;1;Atomic Physics
Pascal Szriftgiser;8;Quantum Physics
Jean-Claude Garreau;3;Atomic Physics
Jun Wang;2;Biological Physics
Wei Wang;10;No primary subject
Piotr J. Flatau;4;Atmospheric and Oceanic Physics
Maria Flatau;1;Atmospheric and Oceanic Physics
J. R. V. Zaneveld;1;Atmospheric and Oceanic Physics
Curtis D. Mobley;1;Atmospheric and Oceanic Physics
Jacek Piskozub;2;Atmospheric and Oceanic Physics
J. V. R. Zaneveld;1;Atmospheric and Oceanic Physics
Diana Duplij;2;No primary subject
Steven Duplij;3;No primary subject
J. Ronald V. Zaneveld;1;Atmospheric and Oceanic Physics
Marijan Kostrun;3;Atomic Physics
Matt Mackie;23;Atomic Physics
Robin Cote;3;Atomic Physics
Juha Javanainen;14;Atomic Physics
W Wykes;1;Space Physics
S C Chapman;1;Space Physics
G Rowlands;2;No primary subject
Charles W. Bauschlicher, Jr.;1;Chemical Physics
Alessandra Ricca;1;Chemical Physics
Gregory M. Smith;1;General Physics
Zu-Guo Yu;6;Biological Physics
Vo Anh;4;Biological Physics
A.M. Ignatov;5;Plasma Physics
S.A. Trigger;4;Plasma Physics
Francesco di Liberto;1;Physics Education
S.A.Trigger;1;Plasma Physics
A.M.Ignatov;1;Plasma Physics
Sh.G.Amiranashvili;1;Plasma Physics
Y. Nosochkov;17;Accelerator Physics
M. Biagini;3;Accelerator Physics
Y. Cai;8;Accelerator Physics
F.-J. Decker;2;Accelerator Physics
M.H.R. Donald;3;Accelerator Physics
S. Ecklund;4;Accelerator Physics
A. Fisher;4;Accelerator Physics
W. Kozanecki;2;Accelerator Physics
P. Krejcik;3;Accelerator Physics
A. Kulikov;1;Accelerator Physics
M. Minty;2;Accelerator Physics
I. Reichel;2;Accelerator Physics
J. Seeman;3;Accelerator Physics
M. Sullivan;5;Accelerator Physics
U. Wienands;3;Accelerator Physics
Y. Yan;2;No primary subject
V. V. Anh;1;Biological Physics
Bin Wang;6;Biological Physics
Huw D. R. Golledge;1;Biological Physics
Siu A. Chin;15;Computational Physics
Donald W. Kidwell;1;Computational Physics
Leonid Malyshkin;4;Astrophysics
Wolfgang Becken;1;Astrophysics
Merav Opher;1;Astrophysics
Reuven Opher;2;Astrophysics
