Id	name	popularity	modularity_class	rol	betweenesscentrality
0tabWyvzBwZR4NVIotBm21	Wolty	37	7	role_3	121600862
2sSeIHqgpFdFg83U8kYnHY	Isabela Souza	37	1	role_1	927301305
4kyLueNyhG8PKhJagDDOJD	Patricia Sosa	37	1	role_2	6466845643
6tOv5UYDorjmsernjtaHO1	Kelmitt	37	5	role_5	3700685081
4zhRp8eBXDLLmToDwAsLgK	Sou El Flotador	37	5	role_3	11465236625
6TY0JuXMcvhCLtHYBJ4iXH	El Tecla	37	7	role_3	2816950367
45ztMs8dTg6GRQ41yY4xtr	Alex Hoyer	37	1	role_2	732108735
1xCbQhtV5c1Vc1I1n2jyv0	Chamaco	37	5	role_2	14692529
3QSFLkwEghCeYY042s6uWs	Argentino Luna	37	1	role_2	22268655285
4Ejyn899EXnQc0PhfKC7wY	La Mafia del Amor x El Combo Perfecto	37	5	role_5	11604612025
2Jro2lFfaK1LiUIIY8Ff48	Los Rojas	37	1	role_1	307992471
4D56DujhnBViJ4oYCSl1GK	Teresa Parodi	37	1	role_2	1266429601
2KZnZEjvAYOkl85rluwNP7	DP Beats	37	8	role_0	4260607
46tb2ZXhiEO0R42JLK1Qzr	Zica	37	7	role_2	3607394437
4FeN9FV6xecISybbcacns8	Granizo Rojo	37	1	role_1	4824421001
3bajlVy8vDG5VCHEG1iAgU	Facu Y La Fuerza	37	1	role_2	1728287026
7v8veUQH2fro2QjkOKS7vB	Coty	37	1	role_1	109389563
0y2UIyqXN4KctxsMLgSMhm	Nolberto Al k la	37	1	role_2	21402221944
5bOm9wAui94GDhPOCKgmhY	Clara Cava	37	7	role_5	2178123719
2QoRWNLJ6A9M8f9F0ovGcM	Sonido Caracol	37	7	role_2	282861936
1p9IEVolgFCEjlFwEGTjPG	El Doctor	37	7	role_2	2283884035
5sw4vau0N1fwalr2ACVN9M	2FeetBino	37	8	role_4	123949341
6FWTqLIVK9jjMGcNJnF7xE	Broke Carrey	37	7	role_5	5966598542
